,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
362,362,Labuhan,ID,-6.8844,112.2051,87.55,64,77,7.72,broken clouds
364,364,Sarankhola,BD,22.3082,89.7897,75.58,93,100,4.12,moderate rain
366,366,Hatillo,PR,18.4863,-66.8254,79.09,93,0,8.3,clear sky
368,368,Noumea,NC,-22.2763,166.4572,80.58,80,100,16.04,overcast clouds
371,371,Bang Saphan,TH,11.2126,99.5117,87.06,62,20,3.8,few clouds
381,381,Oriximina,BR,-1.7656,-55.8661,77.43,75,100,2.42,overcast clouds
383,383,Topolobampo,MX,25.6,-109.05,79.38,79,57,6.85,broken clouds
385,385,Don Sak,TH,9.3168,99.6918,87.69,74,100,0.51,overcast clouds
390,390,Alice Springs,AU,-23.7,133.8833,88.21,40,1,5.75,clear sky
399,399,George Town,MY,5.4112,100.3354,84.15,77,40,6.91,scattered clouds
403,403,Majene,ID,-3.5403,118.9707,84.97,71,24,5.7,few clouds
411,411,Nanakuli,US,21.3906,-158.1547,82.35,61,0,9.22,clear sky
412,412,Grand Gaube,MU,-20.0064,57.6608,77.4,68,7,5.99,clear sky
414,414,Adrar,MR,20.5022,-10.0711,77.68,18,0,6.2,clear sky
418,418,Porto Novo,BJ,6.4965,2.6036,76.82,92,39,3.44,scattered clouds
421,421,Galle,LK,6.0367,80.217,81.25,77,100,11.16,overcast clouds
422,422,West Bay,KY,19.3667,-81.4167,81.0,84,12,4.0,few clouds
425,425,Cotonou,BJ,6.3654,2.4183,76.98,88,20,3.44,few clouds
431,431,Kahului,US,20.8947,-156.47,82.42,58,20,17.27,few clouds
433,433,Kalmunai,LK,7.4167,81.8167,85.96,61,100,3.18,overcast clouds
446,446,Mackay,AU,-21.15,149.2,88.68,70,21,15.12,few clouds
450,450,Shamgarh,IN,24.1833,75.6333,79.88,32,0,3.83,clear sky
453,453,Pasighat,IN,28.0667,95.3333,85.19,39,99,3.2,overcast clouds
458,458,Daru,PG,-9.0763,143.2092,86.09,63,20,8.34,few clouds
465,465,Dhidhdhoo,MV,6.8833,73.1,80.78,82,57,11.3,broken clouds
466,466,Ravar,IR,31.2656,56.8055,76.1,14,0,1.74,clear sky
467,467,Khandbari,NP,27.3747,87.2039,77.13,32,0,1.86,clear sky
468,468,Abonnema,NG,4.7084,6.7931,76.48,90,97,1.63,light rain
472,472,Kudahuvadhoo,MV,2.6708,72.8944,81.82,71,95,14.32,overcast clouds
476,476,Qandala,SO,11.472,49.8728,83.14,62,59,5.77,broken clouds
480,480,Kumta,IN,14.4167,74.4,84.78,49,11,7.43,few clouds
481,481,Oussouye,SN,12.485,-16.5469,77.7,82,27,3.74,scattered clouds
482,482,Kavaratti,IN,10.5669,72.642,81.84,73,63,3.18,broken clouds
486,486,Ixtapa,MX,20.7,-105.2,78.22,100,100,3.44,moderate rain
490,490,Tabuk,PH,17.4189,121.4443,87.3,66,100,3.33,overcast clouds
494,494,Ishigaki,JP,24.3448,124.1572,77.13,94,75,12.66,broken clouds
496,496,Buala,SB,-8.145,159.5921,82.0,80,100,10.4,light rain
497,497,Caloc-An,PH,9.0469,125.5306,85.15,71,100,5.95,heavy intensity rain
499,499,Mawlaik,MM,23.6333,94.4167,89.8,52,59,2.93,broken clouds
500,500,Male,MV,4.1748,73.5089,82.35,83,75,13.8,light rain
507,507,Nuqui,CO,5.7125,-77.2708,75.07,90,91,2.35,overcast clouds
511,511,Mangrol,IN,21.1167,70.1167,86.79,46,4,8.43,clear sky
516,516,Puerto Carreno,CO,6.189,-67.4859,76.95,89,97,3.85,overcast clouds
518,518,Acarau,BR,-2.8856,-40.12,78.13,78,0,12.24,clear sky
520,520,Filingue,NE,14.3521,3.3168,78.28,21,2,9.86,clear sky
523,523,Casa Nova,BR,-9.4167,-41.1333,78.24,62,52,16.98,broken clouds
531,531,Marawi,PH,7.9986,124.2928,79.66,68,100,5.1,light rain
537,537,Almunecar,ES,36.7339,-3.6907,78.69,47,100,3.8,overcast clouds
541,541,Bisalpur,IN,28.3,79.8,77.74,53,0,4.5,clear sky
542,542,Tual,ID,-5.6667,132.75,83.98,75,100,7.05,overcast clouds
544,544,Oistins,BB,13.0667,-59.5333,80.69,83,40,9.22,scattered clouds
552,552,Fare,PF,-16.7,-151.0167,78.84,76,4,12.55,clear sky
560,560,Yangjiang,CN,21.85,111.9667,87.49,44,41,11.59,scattered clouds
562,562,Limao,PH,7.0792,125.6736,87.48,70,75,9.22,light rain
563,563,Guilin,CN,25.2819,110.2864,87.91,18,8,12.84,clear sky
564,564,Puerto Madero,MX,14.7208,-92.4215,75.4,100,40,6.91,scattered clouds
569,569,Aranos,,-24.1333,19.1167,75.33,39,76,9.53,light rain
572,572,Warangal,IN,18.0,79.5833,76.33,65,28,12.24,scattered clouds
573,573,Ranau,MY,5.9538,116.6641,80.26,81,100,2.21,overcast clouds
574,574,Calabozo,VE,8.9242,-67.4293,77.79,83,93,4.68,overcast clouds
575,575,Yaring,TH,6.8662,101.3689,81.25,75,100,2.75,heavy intensity rain
581,581,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,9.22,scattered clouds
589,589,Manokwari,ID,-0.8667,134.0833,83.88,74,52,5.01,broken clouds
591,591,Kerema,PG,-7.9631,145.7785,84.4,69,68,7.63,broken clouds
593,593,Neiafu,TO,-18.65,-173.9833,77.68,88,75,5.75,broken clouds
595,595,Kloulklubed,PW,7.0419,134.2556,81.1,72,53,9.13,broken clouds
600,600,Port Antonio,JM,18.18,-76.4612,82.31,81,100,2.66,overcast clouds
605,605,Inirida,CO,3.8653,-67.9239,75.02,96,84,2.71,broken clouds
607,607,Trairi,BR,-3.2778,-39.2689,78.35,78,3,9.71,clear sky
608,608,Bairiki,KI,1.3292,172.9752,86.0,66,40,5.75,scattered clouds
609,609,Wahiawa,US,21.5028,-158.0236,79.12,71,20,9.22,few clouds
610,610,Luwuk,ID,-0.9516,122.7875,87.08,66,92,2.51,overcast clouds
615,615,Pochutla,MX,15.7432,-96.4661,77.83,93,25,4.03,light rain
